nohup: ignoring input
../../ex/epivan/base/pseknc_II_lam5_w1_k6_n3_rf_base created !!!
../../ex/epivan/base/pseknc_II_lam5_w1_k6_n3_rf_base/rank created !!!
experiment: GM12878 pseknc_II_lam5_w1_k6_n3_rf
trainSet len:[X=76020,y=76020]
testSet len:[X=4431,y=4431]
第一次
{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_impurity_split': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 100, 'n_jobs': 14, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}
Fitting, totalling 34 fits
[fit 1/34] END n_estimators=10; total=4431, TP=119, TN=4172, FP=48, FN=92; precision=0.713, recall=0.564
accuracy: (test=0.968) average_precision: (test=0.609) balanced_accuracy: (test=0.776) f1: (test=0.630) roc_auc: (test=0.879) 8.98s
[fit 2/34] END n_estimators=20; total=4431, TP=121, TN=4187, FP=33, FN=90; precision=0.786, recall=0.573
accuracy: (test=0.972) average_precision: (test=0.670) balanced_accuracy: (test=0.783) f1: (test=0.663) roc_auc: (test=0.882) 12.41s
[fit 3/34] END n_estimators=30; total=4431, TP=121, TN=4196, FP=24, FN=90; precision=0.834, recall=0.573
accuracy: (test=0.974) average_precision: (test=0.725) balanced_accuracy: (test=0.784) f1: (test=0.680) roc_auc: (test=0.914) 17.13s
[fit 4/34] END n_estimators=40; total=4431, TP=121, TN=4197, FP=23, FN=90; precision=0.840, recall=0.573
accuracy: (test=0.974) average_precision: (test=0.708) balanced_accuracy: (test=0.784) f1: (test=0.682) roc_auc: (test=0.907) 20.36s
[fit 5/34] END n_estimators=50; total=4431, TP=120, TN=4200, FP=20, FN=91; precision=0.857, recall=0.569
accuracy: (test=0.975) average_precision: (test=0.726) balanced_accuracy: (test=0.782) f1: (test=0.684) roc_auc: (test=0.928) 25.28s
[fit 6/34] END n_estimators=60; total=4431, TP=121, TN=4193, FP=27, FN=90; precision=0.818, recall=0.573
accuracy: (test=0.974) average_precision: (test=0.725) balanced_accuracy: (test=0.784) f1: (test=0.674) roc_auc: (test=0.912) 29.75s
[fit 7/34] END n_estimators=70; total=4431, TP=127, TN=4196, FP=24, FN=84; precision=0.841, recall=0.602
accuracy: (test=0.976) average_precision: (test=0.736) balanced_accuracy: (test=0.798) f1: (test=0.702) roc_auc: (test=0.920) 33.97s
[fit 8/34] END n_estimators=80; total=4431, TP=120, TN=4197, FP=23, FN=91; precision=0.839, recall=0.569
accuracy: (test=0.974) average_precision: (test=0.720) balanced_accuracy: (test=0.782) f1: (test=0.678) roc_auc: (test=0.909) 38.86s
[fit 9/34] END n_estimators=90; total=4431, TP=120, TN=4204, FP=16, FN=91; precision=0.882, recall=0.569
accuracy: (test=0.976) average_precision: (test=0.737) balanced_accuracy: (test=0.782) f1: (test=0.692) roc_auc: (test=0.919) 44.26s
[fit 10/34] END n_estimators=100; total=4431, TP=118, TN=4198, FP=22, FN=93; precision=0.843, recall=0.559
accuracy: (test=0.974) average_precision: (test=0.725) balanced_accuracy: (test=0.777) f1: (test=0.672) roc_auc: (test=0.907) 48.21s
[fit 11/34] END n_estimators=110; total=4431, TP=122, TN=4194, FP=26, FN=89; precision=0.824, recall=0.578
accuracy: (test=0.974) average_precision: (test=0.730) balanced_accuracy: (test=0.786) f1: (test=0.680) roc_auc: (test=0.917) 52.55s
[fit 12/34] END n_estimators=120; total=4431, TP=121, TN=4198, FP=22, FN=90; precision=0.846, recall=0.573
accuracy: (test=0.975) average_precision: (test=0.737) balanced_accuracy: (test=0.784) f1: (test=0.684) roc_auc: (test=0.911) 57.97s
[fit 13/34] END n_estimators=130; total=4431, TP=122, TN=4202, FP=18, FN=89; precision=0.871, recall=0.578
